Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,StabilityInRole,LoyaltyToManager,AvgTrainingPerYear,AgeWhenStarted,AvgYearsPerCompany,IncomePerKm,CompanyLoyalty,PromotionFrequency,AvgMonthlyIncomePerYear
31,0.0,Travel_Rarely,616,Research & Development,12,3,Medical,4,Female,41,3,2,Healthcare Representative,4,Married,5855,17369,0,Yes,11,3,3,2,10,2,1,9,7,8,5,0.7777777777777778,0.5555555555555556,0.2222222222222222,21,40.0,51.333333333333336,0.9,1.0,650.5555555555555
38,0.0,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,0.8461538461538461,0.6923076923076923,0.23076923076923078,21,2.4285714285714284,95.5,0.7647058823529411,6.5,409.9230769230769
39,0.0,Travel_Rarely,408,Research & Development,2,4,Technical Degree,4,Female,80,2,2,Healthcare Representative,3,Single,4553,20978,1,No,11,3,1,0,20,4,3,20,7,11,10,0.35,0.5,0.2,19,20.0,204.0,1.0,1.6666666666666667,227.65
54,0.0,Travel_Rarely,821,Research & Development,5,2,Medical,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,No,11,3,3,1,24,4,2,4,2,1,2,0.5,0.5,1.0,30,6.0,164.2,0.16666666666666666,2.0,4851.5
49,0.0,Travel_Rarely,1098,Research & Development,4,2,Medical,1,Male,85,2,5,Manager,3,Married,18711,12124,2,No,13,3,3,1,23,2,4,1,0,0,0,0.0,0.0,2.0,26,11.5,274.5,0.043478260869565216,1.0,18711.0
24,0.0,Travel_Rarely,691,Research & Development,23,3,Medical,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Yes,11,3,2,2,6,3,3,6,5,1,4,0.8333333333333334,0.6666666666666666,0.5,18,6.0,30.043478260869566,1.0,3.0,454.1666666666667
40,0.0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,No,15,3,3,0,22,3,3,20,6,5,13,0.3,0.65,0.15,18,3.142857142857143,50.333333333333336,0.9090909090909091,3.3333333333333335,661.85
41,0.0,Non-Travel,267,Sales,10,2,Life Sciences,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,No,14,3,4,0,16,3,3,14,3,1,10,0.21428571428571427,0.7142857142857143,0.21428571428571427,25,2.2857142857142856,26.7,0.875,7.0,445.0
32,0.0,Travel_Rarely,588,Sales,8,2,Technical Degree,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Yes,11,3,4,0,13,2,3,13,12,11,9,0.9230769230769231,0.6923076923076923,0.15384615384615385,19,13.0,73.5,1.0,1.0833333333333333,402.15384615384613
24,1.0,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,0.0,0.0,1.0,18,3.0,813.0,0.3333333333333333,0.6666666666666666,1146.5
39,0.0,Travel_Rarely,412,Research & Development,13,4,Medical,3,Female,94,2,4,Manager,2,Divorced,17123,17334,6,Yes,13,3,4,2,21,4,3,19,9,15,2,0.47368421052631576,0.10526315789473684,0.21052631578947367,18,3.5,31.692307692307693,0.9047619047619048,1.1875,901.2105263157895
59,0.0,Travel_Rarely,818,Human Resources,6,2,Medical,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,No,17,3,4,0,7,2,2,2,2,2,2,1.0,1.0,1.0,52,0.875,136.33333333333334,0.2857142857142857,0.6666666666666666,1133.5
36,0.0,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,3,Male,68,3,2,Healthcare Representative,4,Married,6586,4821,0,Yes,17,3,1,1,17,2,2,16,8,4,11,0.5,0.6875,0.125,19,40.0,101.78571428571429,0.9411764705882353,3.2,411.625
30,0.0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,3,Male,49,3,2,Laboratory Technician,3,Divorced,3491,11309,1,No,13,3,1,3,10,4,2,10,7,8,9,0.7,0.9,0.4,20,10.0,121.85714285714286,1.0,1.1111111111111112,349.1
38,0.0,Travel_Rarely,433,Human Resources,1,3,Human Resources,3,Male,37,4,1,Human Resources,3,Married,2844,6004,1,No,13,3,4,1,7,2,4,7,6,5,0,0.8571428571428571,0.0,0.2857142857142857,31,7.0,433.0,1.0,1.1666666666666667,406.2857142857143
28,1.0,Travel_Frequently,1496,Sales,1,3,Technical Degree,1,Male,92,3,1,Sales Representative,3,Married,2909,15747,3,No,15,3,4,1,5,3,4,3,2,1,2,0.6666666666666666,0.6666666666666666,1.0,23,1.6666666666666667,1496.0,0.6,1.5,969.6666666666666
31,0.0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Yes,18,3,2,1,3,2,1,2,2,2,2,1.0,1.0,1.0,28,40.0,96.0,0.6666666666666666,0.6666666666666666,1347.5
36,0.0,Non-Travel,845,Sales,1,5,Medical,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,No,15,3,2,0,7,6,3,1,0,0,0,0.0,0.0,6.0,29,1.75,845.0,0.14285714285714285,1.0,6653.0
32,0.0,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,0.8888888888888888,0.8888888888888888,0.3333333333333333,23,9.0,427.0,1.0,1.125,684.6666666666666
28,0.0,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,No,15,3,2,0,5,3,4,5,4,0,4,0.8,0.8,0.6,23,5.0,30.0,1.0,5.0,844.2
31,1.0,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,Yes,18,3,2,0,12,3,2,7,7,7,7,1.0,1.0,0.42857142857142855,19,3.0,41.5,0.5833333333333334,0.875,881.7142857142857
50,0.0,Travel_Rarely,316,Sales,8,4,Marketing,4,Male,54,3,1,Sales Representative,2,Married,3875,9983,7,No,15,3,4,1,4,2,3,2,2,2,2,1.0,1.0,1.0,46,0.5714285714285714,39.5,0.5,0.6666666666666666,1937.5
39,0.0,Travel_Rarely,1132,Research & Development,1,3,Medical,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,10942,0,No,17,3,1,3,19,5,2,18,10,3,7,0.5555555555555556,0.3888888888888889,0.2777777777777778,20,40.0,1132.0,0.9473684210526315,4.5,534.0555555555555
35,0.0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,0.8,0.6,1.0,29,40.0,50.5625,0.8333333333333334,5.0,485.2
32,0.0,Travel_Frequently,379,Sales,5,2,Life Sciences,2,Male,48,3,2,Sales Executive,2,Married,6524,8891,1,No,14,3,4,1,10,3,3,10,8,5,3,0.8,0.3,0.3,22,10.0,75.8,1.0,1.6666666666666667,652.4
26,1.0,Travel_Rarely,1330,Research & Development,21,3,Medical,1,Male,37,3,1,Laboratory Technician,3,Divorced,2377,19373,1,No,20,4,3,1,1,0,2,1,1,0,0,1.0,0.0,0.0,25,1.0,63.333333333333336,1.0,1.0,2377.0
30,0.0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,0.9090909090909091,0.7272727272727273,0.2727272727272727,19,11.0,144.0,1.0,1.0,377.45454545454544
38,0.0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,0.7777777777777778,0.8888888888888888,0.2222222222222222,28,40.0,9.391304347826088,0.9,4.5,1058.4444444444443
21,0.0,Travel_Rarely,1343,Sales,22,1,Technical Degree,3,Male,49,3,1,Sales Representative,3,Single,3447,24444,1,No,11,3,3,0,3,2,3,3,2,1,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,18,3.0,61.04545454545455,1.0,1.5,1149.0
35,0.0,Travel_Rarely,950,Research & Development,7,3,Other,3,Male,59,3,3,Manufacturing Director,3,Single,10221,18869,3,No,21,4,2,0,17,3,4,8,5,1,6,0.625,0.75,0.375,18,5.666666666666667,135.71428571428572,0.47058823529411764,4.0,1277.625
26,0.0,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,No,20,4,1,1,6,6,1,6,5,1,4,0.8333333333333334,0.6666666666666666,1.0,20,6.0,1479.0,1.0,3.0,1066.1666666666667
31,1.0,Travel_Frequently,523,Research & Development,2,3,Life Sciences,2,Male,94,3,1,Laboratory Technician,4,Married,3722,21081,6,Yes,13,3,3,1,7,2,1,2,2,2,2,1.0,1.0,1.0,24,1.1666666666666667,261.5,0.2857142857142857,0.6666666666666666,1861.0
32,0.0,Travel_Rarely,1062,Research & Development,2,3,Medical,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,No,13,3,3,1,8,4,3,8,0,0,7,0.0,0.875,0.5,24,8.0,531.0,1.0,8.0,296.25
32,0.0,Travel_Rarely,929,Sales,10,3,Marketing,4,Male,55,3,2,Sales Executive,4,Single,5396,21703,1,No,12,3,4,0,10,2,2,10,7,0,8,0.7,0.8,0.2,22,10.0,92.9,1.0,10.0,539.6
34,0.0,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,4,Male,62,2,1,Research Scientist,3,Divorced,2768,8416,3,No,12,3,3,1,14,3,3,7,3,5,7,0.42857142857142855,1.0,0.42857142857142855,20,4.666666666666667,651.5,0.5,1.1666666666666667,395.42857142857144
33,0.0,Travel_Frequently,553,Research & Development,5,4,Life Sciences,4,Female,74,3,3,Manager,2,Married,11878,23364,6,No,11,3,2,2,12,2,3,10,6,8,8,0.6,0.8,0.2,21,2.0,110.6,0.8333333333333334,1.1111111111111112,1187.8
47,0.0,Travel_Rarely,983,Research & Development,2,2,Medical,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,No,13,3,3,3,20,2,3,5,0,0,4,0.0,0.8,0.4,27,4.0,491.5,0.25,5.0,1014.0
30,0.0,Travel_Rarely,921,Research & Development,1,3,Life Sciences,4,Male,38,1,1,Laboratory Technician,3,Married,3833,24375,3,No,21,4,3,2,7,2,3,2,2,0,2,1.0,1.0,1.0,23,2.3333333333333335,921.0,0.2857142857142857,2.0,1916.5
58,0.0,Travel_Rarely,1145,Research & Development,9,3,Medical,2,Female,75,2,1,Research Scientist,2,Married,3346,11873,4,Yes,20,4,2,1,9,3,2,1,0,0,0,0.0,0.0,3.0,49,2.25,127.22222222222223,0.1111111111111111,1.0,3346.0
37,1.0,Travel_Rarely,625,Sales,1,4,Life Sciences,1,Male,46,2,3,Sales Executive,3,Married,10609,14922,5,No,11,3,3,0,17,2,1,14,1,11,7,0.07142857142857142,0.5,0.14285714285714285,20,3.4,625.0,0.8235294117647058,1.1666666666666667,757.7857142857143
38,0.0,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,3,Female,75,3,1,Laboratory Technician,4,Single,2288,6319,1,No,12,3,3,0,2,3,3,2,2,2,1,1.0,0.5,1.5,36,2.0,153.33333333333334,1.0,0.6666666666666666,1144.0
43,1.0,Travel_Rarely,1372,Sales,9,3,Marketing,1,Female,85,1,2,Sales Executive,3,Single,5346,9489,8,No,13,3,2,0,7,2,2,4,3,1,3,0.75,0.75,0.5,36,0.875,152.44444444444446,0.5714285714285714,2.0,1336.5
52,0.0,Travel_Frequently,322,Research & Development,28,2,Medical,4,Female,59,4,4,Manufacturing Director,3,Married,13247,9731,2,Yes,11,3,2,1,24,3,2,5,3,0,2,0.6,0.4,0.6,28,12.0,11.5,0.20833333333333334,5.0,2649.4
44,0.0,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,0.75,0.75,0.5,35,1.8,1488.0,0.4444444444444444,2.0,1363.5
59,0.0,Travel_Rarely,142,Research & Development,3,3,Life Sciences,3,Male,70,2,1,Research Scientist,4,Married,2177,8456,3,No,17,3,1,1,7,6,3,1,0,0,0,0.0,0.0,6.0,52,2.3333333333333335,47.333333333333336,0.14285714285714285,1.0,2177.0
42,0.0,Non-Travel,926,Research & Development,21,2,Medical,3,Female,36,3,2,Manufacturing Director,3,Divorced,5265,16439,2,No,16,3,2,1,11,5,3,5,3,0,2,0.6,0.4,1.0,31,5.5,44.095238095238095,0.45454545454545453,5.0,1053.0
45,0.0,Travel_Rarely,561,Sales,2,3,Other,4,Male,61,3,2,Sales Executive,2,Married,4805,16177,0,No,19,3,2,1,9,3,4,8,7,3,7,0.875,0.875,0.375,36,40.0,280.5,0.8888888888888888,2.0,600.625
21,1.0,Travel_Rarely,1427,Research & Development,18,1,Other,4,Female,65,3,1,Research Scientist,4,Single,2693,8870,1,No,19,3,1,0,1,3,2,1,0,0,0,0.0,0.0,3.0,20,1.0,79.27777777777777,1.0,1.0,2693.0
23,0.0,Travel_Rarely,885,Research & Development,4,3,Medical,1,Male,58,4,1,Research Scientist,1,Married,2819,8544,2,No,16,3,1,1,5,3,4,3,2,0,2,0.6666666666666666,0.6666666666666666,1.0,18,2.5,221.25,0.6,3.0,939.6666666666666
54,0.0,Travel_Rarely,1147,Sales,3,3,Marketing,4,Female,52,3,2,Sales Executive,1,Married,5940,17011,2,No,14,3,4,1,16,4,3,6,2,0,5,0.3333333333333333,0.8333333333333334,0.6666666666666666,38,8.0,382.3333333333333,0.375,6.0,990.0
41,0.0,Travel_Rarely,509,Research & Development,7,2,Technical Degree,2,Female,43,4,1,Research Scientist,3,Married,3376,18863,1,No,13,3,3,0,10,3,3,10,6,0,8,0.6,0.8,0.3,31,10.0,72.71428571428571,1.0,10.0,337.6
45,0.0,Travel_Rarely,1038,Research & Development,20,3,Medical,2,Male,95,1,3,Healthcare Representative,1,Divorced,10851,19863,2,Yes,18,3,2,1,24,2,3,7,7,0,7,1.0,1.0,0.2857142857142857,21,12.0,51.9,0.2916666666666667,7.0,1550.142857142857
45,0.0,Non-Travel,1052,Sales,6,3,Medical,4,Female,57,2,3,Sales Executive,4,Single,8865,16840,6,No,12,3,4,0,23,2,3,19,7,12,8,0.3684210526315789,0.42105263157894735,0.10526315789473684,22,3.8333333333333335,175.33333333333334,0.8260869565217391,1.4615384615384615,466.57894736842104
55,0.0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,0.0,0.0,4.0,31,8.0,111.0,0.041666666666666664,0.5,10239.0
34,0.0,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,4,Male,45,2,2,Manufacturing Director,3,Married,9547,14074,1,No,17,3,3,0,10,2,2,10,9,1,9,0.9,0.9,0.2,24,10.0,534.5,1.0,5.0,954.7
57,0.0,Travel_Rarely,405,Research & Development,1,2,Life Sciences,2,Male,93,4,2,Research Scientist,3,Married,4900,2721,0,No,24,4,1,1,13,2,2,12,9,2,8,0.75,0.6666666666666666,0.16666666666666666,44,40.0,405.0,0.9230769230769231,4.0,408.3333333333333
33,0.0,Travel_Rarely,147,Research & Development,4,4,Medical,3,Female,47,2,1,Research Scientist,2,Married,2622,13248,6,No,21,4,4,0,7,3,3,3,2,1,1,0.6666666666666666,0.3333333333333333,1.0,26,1.1666666666666667,36.75,0.42857142857142855,1.5,874.0
32,0.0,Non-Travel,300,Research & Development,1,3,Life Sciences,4,Male,61,3,1,Laboratory Technician,4,Divorced,2314,9148,0,No,12,3,2,1,4,2,3,3,0,0,2,0.0,0.6666666666666666,0.6666666666666666,28,40.0,300.0,0.75,3.0,771.3333333333334
21,1.0,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,Female,45,2,1,Laboratory Technician,3,Single,2625,25308,1,No,20,4,3,0,2,2,1,2,2,2,2,1.0,1.0,1.0,19,2.0,25.1,1.0,0.6666666666666666,1312.5
34,1.0,Travel_Frequently,296,Sales,6,2,Marketing,4,Female,33,1,1,Sales Representative,3,Divorced,2351,12253,0,No,16,3,4,1,3,3,2,2,2,1,0,1.0,0.0,1.5,31,40.0,49.333333333333336,0.6666666666666666,1.0,1175.5
27,0.0,Travel_Frequently,1242,Sales,20,3,Life Sciences,4,Female,90,3,2,Sales Executive,3,Single,9981,12916,1,No,14,3,4,0,7,2,3,7,7,0,7,1.0,1.0,0.2857142857142857,20,7.0,62.1,1.0,7.0,1425.857142857143
36,0.0,Travel_Rarely,917,Research & Development,6,4,Life Sciences,3,Male,60,1,1,Laboratory Technician,3,Divorced,2741,6865,1,No,14,3,3,1,7,4,3,7,7,1,7,1.0,1.0,0.5714285714285714,29,7.0,152.83333333333334,1.0,3.5,391.57142857142856
41,1.0,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,0.6818181818181818,0.36363636363636365,0.0,18,23.0,113.33333333333333,0.9565217391304348,1.375,888.4090909090909
33,0.0,Travel_Frequently,1296,Research & Development,6,3,Life Sciences,3,Male,30,3,2,Healthcare Representative,4,Divorced,7725,5335,3,No,23,4,3,1,15,2,1,13,11,4,7,0.8461538461538461,0.5384615384615384,0.15384615384615385,18,5.0,216.0,0.8666666666666667,2.6,594.2307692307693
18,1.0,Non-Travel,247,Research & Development,8,1,Medical,3,Male,80,3,1,Laboratory Technician,3,Single,1904,13556,1,No,12,3,4,0,0,0,3,0,0,0,0,,,6.0,18,0.0,30.875,,0.0,18711.0
27,0.0,Travel_Rarely,894,Research & Development,9,3,Medical,4,Female,99,3,1,Research Scientist,2,Single,2279,11781,1,No,16,3,4,0,7,2,2,7,7,0,3,1.0,0.42857142857142855,0.2857142857142857,20,7.0,99.33333333333333,1.0,7.0,325.57142857142856
22,0.0,Travel_Rarely,1230,Research & Development,1,2,Life Sciences,4,Male,33,2,2,Manufacturing Director,4,Married,4775,19146,6,No,22,4,1,2,4,2,1,2,2,2,2,1.0,1.0,1.0,18,0.6666666666666666,1230.0,0.5,0.6666666666666666,2387.5
33,1.0,Travel_Rarely,813,Research & Development,14,3,Medical,3,Male,58,3,1,Laboratory Technician,4,Married,2436,22149,5,Yes,13,3,3,1,8,2,1,5,4,0,4,0.8,0.8,0.4,25,1.6,58.07142857142857,0.625,5.0,487.2
42,0.0,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,4,Female,88,2,2,Healthcare Representative,4,Married,4523,4386,0,No,11,3,4,3,7,4,4,6,5,0,4,0.8333333333333334,0.6666666666666666,0.6666666666666666,35,40.0,48.857142857142854,0.8571428571428571,6.0,753.8333333333334
29,0.0,Travel_Frequently,806,Research & Development,1,4,Life Sciences,2,Male,76,1,1,Research Scientist,4,Divorced,2720,18959,1,No,18,3,4,1,10,5,3,10,7,2,8,0.7,0.8,0.5,19,10.0,806.0,1.0,3.3333333333333335,272.0
35,0.0,Travel_Rarely,817,Research & Development,1,3,Medical,4,Female,60,2,2,Laboratory Technician,4,Married,5363,10846,0,No,12,3,2,1,10,0,3,9,7,0,0,0.7777777777777778,0.0,0.0,25,40.0,817.0,0.9,9.0,595.8888888888889
37,0.0,Non-Travel,142,Sales,9,4,Medical,1,Male,69,3,3,Sales Executive,2,Divorced,8834,24666,1,No,13,3,4,1,9,6,3,9,5,7,7,0.5555555555555556,0.7777777777777778,0.6666666666666666,28,9.0,15.777777777777779,1.0,1.125,981.5555555555555
52,1.0,Travel_Rarely,266,Sales,2,1,Marketing,1,Female,57,1,5,Manager,4,Married,19845,25846,1,No,15,3,4,1,33,3,3,32,14,6,9,0.4375,0.28125,0.09375,19,33.0,133.0,0.9696969696969697,4.571428571428571,620.15625
31,0.0,Travel_Rarely,218,Sales,7,3,Technical Degree,2,Male,100,4,2,Sales Executive,4,Married,6929,12241,4,No,11,3,2,1,10,3,2,8,7,7,7,0.875,0.875,0.375,21,2.5,31.142857142857142,0.8,1.0,866.125
29,0.0,Travel_Rarely,1396,Sales,10,3,Life Sciences,3,Male,99,3,1,Sales Representative,3,Single,2642,2755,1,No,11,3,3,0,1,6,3,1,0,0,0,0.0,0.0,6.0,28,1.0,139.6,1.0,1.0,2642.0
32,1.0,Non-Travel,1474,Sales,11,4,Other,4,Male,60,4,2,Sales Executive,3,Married,4707,23914,8,No,12,3,4,0,6,2,3,4,2,1,2,0.5,0.5,0.5,26,0.75,134.0,0.6666666666666666,2.0,1176.75
35,0.0,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,0.0,0.75,0.75,25,5.0,99.72727272727273,0.4,1.3333333333333333,2471.0
43,0.0,Travel_Rarely,920,Research & Development,3,3,Life Sciences,3,Male,96,1,5,Research Director,4,Married,19740,18625,3,No,14,3,2,1,25,2,3,8,7,0,7,0.875,0.875,0.25,18,8.333333333333334,306.6666666666667,0.32,8.0,2467.5
33,0.0,Travel_Rarely,134,Research & Development,2,3,Life Sciences,3,Male,90,3,1,Research Scientist,4,Single,2500,10515,0,No,14,3,1,0,4,2,4,3,1,0,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,29,40.0,67.0,0.75,3.0,833.3333333333334
37,0.0,Travel_Rarely,309,Sales,10,4,Life Sciences,4,Female,88,2,2,Sales Executive,4,Divorced,6694,24223,2,Yes,14,3,3,3,8,5,3,1,0,0,0,0.0,0.0,5.0,29,4.0,30.9,0.125,1.0,6694.0
27,1.0,Travel_Rarely,135,Research & Development,17,4,Life Sciences,4,Female,51,3,1,Research Scientist,3,Single,2394,25681,1,Yes,13,3,4,0,8,2,3,8,2,7,7,0.25,0.875,0.25,19,8.0,7.9411764705882355,1.0,1.0,299.25
28,0.0,Travel_Rarely,1451,Research & Development,2,1,Life Sciences,1,Male,67,2,1,Research Scientist,2,Married,3201,19911,0,No,17,3,1,0,6,2,1,5,3,0,4,0.6,0.8,0.4,22,40.0,725.5,0.8333333333333334,5.0,640.2
27,0.0,Travel_Frequently,294,Research & Development,10,2,Life Sciences,4,Male,32,3,3,Manufacturing Director,1,Divorced,8793,4809,1,No,21,4,3,2,9,4,2,9,7,1,7,0.7777777777777778,0.7777777777777778,0.4444444444444444,18,9.0,29.4,1.0,4.5,977.0
37,0.0,Travel_Rarely,342,Sales,16,4,Marketing,4,Male,66,2,2,Sales Executive,3,Divorced,6334,24558,4,No,19,3,4,2,9,2,3,1,0,0,0,0.0,0.0,2.0,28,2.25,21.375,0.1111111111111111,1.0,6334.0
27,0.0,Travel_Rarely,199,Research & Development,6,3,Life Sciences,4,Male,55,2,1,Research Scientist,3,Married,2539,7950,1,No,13,3,3,1,4,0,3,4,2,2,2,0.5,0.5,0.0,23,4.0,33.166666666666664,1.0,1.3333333333333333,634.75
37,0.0,Travel_Frequently,319,Sales,4,4,Marketing,1,Male,41,3,1,Sales Representative,4,Divorced,2793,2539,4,No,17,3,3,1,13,2,3,9,8,5,8,0.8888888888888888,0.8888888888888888,0.2222222222222222,24,3.25,79.75,0.6923076923076923,1.5,310.3333333333333
31,0.0,Travel_Rarely,1062,Research & Development,24,3,Medical,3,Female,96,2,2,Healthcare Representative,1,Single,6812,17198,1,No,19,3,2,0,10,2,3,10,9,1,8,0.9,0.8,0.2,21,10.0,44.25,1.0,5.0,681.2
48,0.0,Travel_Rarely,715,Research & Development,1,3,Life Sciences,4,Male,76,2,5,Research Director,4,Single,18265,8733,6,No,12,3,3,0,25,3,4,1,0,0,0,0.0,0.0,3.0,23,4.166666666666667,715.0,0.04,1.0,18265.0
36,0.0,Travel_Rarely,676,Research & Development,1,3,Other,3,Female,35,3,2,Manufacturing Director,2,Married,5228,23361,0,No,15,3,1,1,10,2,3,9,7,0,5,0.7777777777777778,0.5555555555555556,0.2222222222222222,26,40.0,676.0,0.9,9.0,580.8888888888889
